,input_size,insertion_time,checking_time,fpr,cpr,uniform,independent
0,10000,0.0630948543548584,0.058977603912353516,1.441762465919673e-13,69.31471805599453,True,True
1,20000,0.12647318840026855,0.11858534812927246,1.5998048366684547e-09,34.657359027997266,True,True
2,30000,0.1874992847442627,0.17669034004211426,2.439589572990124e-07,23.104906018664842,True,True
3,40000,0.24933123588562012,0.23608136177062988,6.5368476121401265e-06,17.328679513998633,True,True
4,50000,0.31217026710510254,0.29440879821777344,6.83887667512759e-05,13.862943611198906,True,True
5,60000,0.37645745277404785,0.35585474967956543,0.0003986081739965315,11.552453009332421,True,True
6,70000,0.43497514724731445,0.4119911193847656,0.0015643149988891162,9.90210257942779,True,True
7,80000,0.5011007785797119,0.47397637367248535,0.004627510391572454,8.664339756999317,True,True
8,90000,0.5590596199035645,0.5292136669158936,0.011095849386155371,7.701635339554947,True,True
9,100000,0.6221568584442139,0.59000563621521,0.022658122458868668,6.931471805599453,True,True
10,110000,0.6844339370727539,0.6477580070495605,0.040810133555350896,6.301338005090412,True,True
11,120000,0.7465133666992188,0.7082347869873047,0.06652193589373408,5.7762265046662105,True,True
12,130000,0.8154585361480713,0.77166748046875,0.10005253117736135,5.331901388922656,True,True
13,140000,0.8809363842010498,0.8299870491027832,0.1409387250834939,4.951051289713895,True,True
14,150000,0.9348311424255371,0.8824052810668945,0.18812176911318398,4.620981203732969,True,True
15,160000,0.9959328174591064,0.941840648651123,0.24014814917955057,4.332169878499658,True,True
16,170000,1.0674083232879639,1.0066087245941162,0.2953838704419778,4.077336356234972,True,True
17,180000,1.1221880912780762,1.0592670440673828,0.3522001703275445,3.8508176697774736,True,True
18,190000,1.1805131435394287,1.1181209087371826,0.40910996174774156,3.6481430555786596,True,True
19,200000,1.2472550868988037,1.1793925762176514,0.46485129783500273,3.4657359027997265,True,True
20,210000,1.305516004562378,1.2358880043029785,0.5184245741225799,3.3007008598092633,True,True
21,220000,1.3721556663513184,1.2948517799377441,0.5690947743432685,3.150669002545206,True,True
22,230000,1.4524133205413818,1.3685023784637451,0.6163706398563304,3.0136833937388925,True,True
23,240000,1.4978654384613037,1.4136955738067627,0.6599710129107251,2.8881132523331052,True,True
24,250000,1.5548722743988037,1.476813554763794,0.6997861250603691,2.772588722239781,True,True
25,260000,1.620673418045044,1.5304756164550781,0.7358391038468912,2.665950694461328,True,True
26,270000,1.690742015838623,1.601989507675171,0.7682508624256034,2.5672117798516494,True,True
